,business_status,geometry,name,rating,types,user_ratings_total,vicinity,price_level
15,OPERATIONAL,"{'location': {'lat': 12.9738194, 'lng': 77.6092038}, 'viewport': {'northeast': {'lat': 12.9751772302915, 'lng': 77.6106528302915}, 'southwest': {'lat': 12.9724792697085, 'lng': 77.6079548697085}}}",Chung Wah Restaurant,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",1060.0,"45/1, Leo Complex, Residency Cross Road, Bengaluru",2.0
16,OPERATIONAL,"{'location': {'lat': 12.966775, 'lng': 77.6083056}, 'viewport': {'northeast': {'lat': 12.9681865302915, 'lng': 77.6096879802915}, 'southwest': {'lat': 12.9654885697085, 'lng': 77.60699001970849}}}",Olive Beach,4.3,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",3340.0,"near Karnataka Bank, 16, Wood Street, Ashok Nagar, Bengaluru",3.0
17,OPERATIONAL,"{'location': {'lat': 12.973678, 'lng': 77.607354}, 'viewport': {'northeast': {'lat': 12.9750096802915, 'lng': 77.60869818029151}, 'southwest': {'lat': 12.9723117197085, 'lng': 77.60600021970849}}}",Pecos - Classic,4.3,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1636.0,"34, Rest House Road, Shanthala Nagar, Sampangi Rama Nagara, Bengaluru",2.0
18,OPERATIONAL,"{'location': {'lat': 12.9825481, 'lng': 77.59455299999999}, 'viewport': {'northeast': {'lat': 12.9836158802915, 'lng': 77.5957769802915}, 'southwest': {'lat': 12.9809179197085, 'lng': 77.5930790197085}}}",The Capitol Hotel,4.0,"['lodging', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",5682.0,"3, Raj Bhavan Road, Vasanth Nagar, Bengaluru",
19,OPERATIONAL,"{'location': {'lat': 12.9717269, 'lng': 77.596153}, 'viewport': {'northeast': {'lat': 12.9729958802915, 'lng': 77.5973162802915}, 'southwest': {'lat': 12.9702979197085, 'lng': 77.59461831970849}}}",Subway,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",219.0,"2nd Floor, UB City, Near-Regent, Vittal Mallya Road, Bengaluru",2.0
20,CLOSED_TEMPORARILY,"{'location': {'lat': 12.9712973, 'lng': 77.6006814}, 'viewport': {'northeast': {'lat': 12.9726206302915, 'lng': 77.60216228029151}, 'southwest': {'lat': 12.9699226697085, 'lng': 77.59946431970849}}}",Northern Route,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",716.0,"St. Marks Plaza, 14, Saint Marks Road, Bengaluru",1.0
21,OPERATIONAL,"{'location': {'lat': 12.9744745, 'lng': 77.6097669}, 'viewport': {'northeast': {'lat': 12.9758970302915, 'lng': 77.61113183029151}, 'southwest': {'lat': 12.9731990697085, 'lng': 77.6084338697085}}}",Canopy Restaurant,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",566.0,"Public Utility Building, 2nd, Mahatma Gandhi Road, Shanthala Nagar, Ashok Nagar, Bengaluru",2.0
22,OPERATIONAL,"{'location': {'lat': 12.9728961, 'lng': 77.6093044}, 'viewport': {'northeast': {'lat': 12.9741442802915, 'lng': 77.6105347802915}, 'southwest': {'lat': 12.9714463197085, 'lng': 77.6078368197085}}}",Meghana Foods,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",15275.0,"Jayalakshmi Chambers, 57/1, 1st, next to Old Galaxy Theatre, Residency Road, Bengaluru",2.0
23,OPERATIONAL,"{'location': {'lat': 12.9624628, 'lng': 77.5990515}, 'viewport': {'northeast': {'lat': 12.9637553802915, 'lng': 77.6004616302915}, 'southwest': {'lat': 12.9610574197085, 'lng': 77.5977636697085}}}",Pizza Hut,3.9,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",1195.0,"4/1, O'Shaughnessy Road, Richmond Town, Langford Gardens, Bengaluru",2.0
24,OPERATIONAL,"{'location': {'lat': 12.9733569, 'lng': 77.60941009999999}, 'viewport': {'northeast': {'lat': 12.9747064302915, 'lng': 77.61076518029151}, 'southwest': {'lat': 12.9720084697085, 'lng': 77.60806721970849}}}",Green Onion,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",3821.0,"43/44, Chandraprabha Complex, Residency Road 1st Cross, Shanthala Nagar, Bengaluru",1.0
